<ID|readonly|noverify>,ENGLISH,FRENCH,ITALIAN,GERMAN,SPANISH,RUSSIAN,POLISH,CZECH,TURKISH,CHINESE,JAPANESE,PORTUGUESE,UKRAINIAN,SERBIAN,HUNGARIAN,KOREAN,BELARUSIAN,ROMANIAN,TCHINESE,HCHINESE,VIETNAMESE,COMMENTS,MAX_CHARS
sb_2m_103u_china,␗SB 2M-103U,␗SB 2M-103U,␗SB 2M-103U,␗SB 2M-103U,␗SB 2M-103U,␗SB 2M-103U,␗SB 2M-103U,␗ SB 2M-103U,␗SB 2M-103U,␗\tSB-2 (M-103U),␗SB 2M-103U,␗SB 2M-103U,␗SB 2M-103U,␗SB 2M-103U,␗SzB 2M-103U,␗SB 2M-103U,СБ 2М-103У,␗SB 2M-103U,␗\t斯\t勃 2M-103U,☆\t斯\t勃\t/2M-103U,␗SB 2M-103U,,
p-40e_china,␗P-40E-1,␗P-40E-1,␗P-40E-1,␗P-40E-1,␗P-40E-1,␗P-40E-1,␗P-40E-1,␗ P-40E-1 Warhawk,␗P-40E-1,␗\tP-40E-1,␗P-40E-1,␗P-40E-1,␗P-40E-1,␗P-40E-1,␗P-40E-1,␗P-40E-1,P-40E-1,␗P-40E-1,␗\tP-40E-1,☆\tP-40E-1\t“战\t鹰”,␗P-40E-1,,
ki-27_otsu_china,␗Ki-27 otsu,␗Ki-27 otsu,␗Ki-27 otsu,␗Ki-27 otsu,␗Ki-27 otsu,␗Ki-27 otsu,␗Ki-27 otsu,␗ Ki-27-ocu,␗Ki-27 otsu,␗\t九\t七\t战\t乙\t型,␗九七戦乙型,␗Ki-27 otsu,␗Ki-27 otsu,␗Ki-27 otsu,␗Ki-27 ocu,Ki-27을,Ki-27 otsu,␗Ki-27 otsu,␗\t九\t七\t戰\t乙\t型,☆\tK-27b,␗Ki-27 otsu,,
hawk_iii,Hawk III,Hawk III,Hawk III,Hawk III,Hawk III,Hawk III,Hawk III,Hawk Mk.III,Hawk III,霍\t克 III,ホーク III,Hawk III,Hawk III,Hawk III,␗Hawk III,호크 III,Hawk III,Hawk III,␗\t霍\t克 III,“霍\t克”\tIII\t（进\t击）,Hawk III,,
p-43a-1_china,␗P-43A-1,␗P-43A-1,␗P-43A-1,␗P-43A-1,␗P-43A-1,␗P-43A-1,␗P-43A-1,␗ P-43A-1 Lancer,␗P-43A-1,␗\tP-43A-1,␗P-43A-1,␗P-43A-1,␗P-43A-1,␗P-43A-1,␗P-43A-1,␗P-43A-1,P-43A-1,␗P-43A-1,␗\tP-43A-1,☆\tP-43A-1\t“枪\t骑\t兵”,␗P-43A-1,,
p-43a-1,P-43A-1,P-43A-1,P-43A-1,P-43A-1,P-43A-1,P-43A-1,P-43A-1,P-43A-1 Lancer,P-43A-1,P-43A-1,P-43A-1,P-43A-1,P-43A-1,P-43A-1,P-43A-1,P-43A-1,P-43A-1,P-43A-1,P-43A-1,P-43A-1\t“枪\t骑\t兵”,P-43A-1,,
ki_43_3_ko,␗Ki-43-III ko,␗Ki-43-III ko,␗Ki-43-III ko,␗Ki-43-III ko,␗Ki-43-III ko,␗Ki-43-III ko,␗Ki-43-III ko,Ki-43-III-ko Hajabusa,␗Ki-43-III ko,␗\t一\t式\t战\t三\t型\t甲,␗キ\t43-III\t甲,␗Ki-43-III ko,␗Ki-43-III ko,␗Ki-43-III ko,␗Ki-43-III kó,Ki-43-III갑,Ki-43-III,␗Ki-43-III ko,␗\t一\t式\t戰\t三\t型\t甲,☆\tK-43-IIIa,␗Ki-43-III ko,,
ki-45_hei_tei_china,␗Ki-45 hei/tei,Ki-45 hei/tei,␗Ki-45 hei/tei,␗Ki-45 hei/tei,␗Ki-45 hei/tei,␗Ki-45 hei/tei,␗Ki-45 hei/tei,␗ Ki-45-hei-tei Torjú,␗Ki-45 hei/tei,␗\t二\t式\t复\t战\t丙\t型\t丁\t装\t备\t机,␗キ\t45 丙/丁,␗Ki-45 hei/tei,␗Ki-45 hei/tei,␗Ki-45 hei/tei,␗Ki-45 hei/tei,Ki-45병/정,Ki-45 hei/tei,␗Ki-45 hei/tei,␗\t二\t式\t複\t座\t戰\t鬥\t機\t丙\t/\t丁\t型,☆\tK-45c/d,␗Ki-45 hei/tei,,
a6m2_zero_china,␗A6M2,␗A6M2,␗A6M2,␗A6M2,␗A6M2,␗A6M2,␗A6M2,␗ A6M2 model 21 Reisen,␗A6M2,␗\t零\t战\t二\t一\t型,␗零式一号艦上戦闘機一型,␗A6M2,␗A6M2,␗A6M2,␗A6M2 modell 21,␗A6M2,A6M2,␗A6M2,␗\t零\t戰\t二\t一\t型,☆\tAM6-21,␗A6M2,,
a6m5_zero_china,␗A6M5,A6M5,␗A6M5,␗A6M5,␗A6M5,␗A6M5,␗A6M5,␗ A6M5 model 52 Reisen,␗A6M5,␗\t零\t战\t五\t二\t型,␗零式艦上戦闘機五二型,␗A6M5,␗A6M5,␗A6M5,␗A6M5 modell 52,␗A6M5,A6M5,␗A6M5,␗\t零\t戰\t五\t二\t型,☆\tAM6-52,␗A6M5,,
p-47d_23_ra_china_rocaf,␗P-47D-23-RA,␗P-47D-23-RA,␗P-47D-23-RA,␗P-47D-23-RA,␗P-47D-23-RA,␗P-47D-23-RA,␗P-47D-23-RA,␗P-47D-23-RA Thunderbolt,␗P-47D-23-RA,␗\tP-47D-23-RA,␗P-47D-23-RA,␗P-47D-23-RA,␗P-47D-23-RA,␗P-47D-23-RA,␗P-47D-23-RA,␗P-47D-23-RA,␗P-47D-23-RA,␗P-47D-23 RE,␗\tP-47D-23-RA,☆ P-47D-23-RA\t“雷\t电”,␗P-47D-23-RA,,
p-47d_30_china,␗P-47D-30,␗P-47D-30,␗P-47D-30,␗P-47D-30,␗P-47D-30,␗P-47D-30,␗P-47D-30,␗P-47D-30,␗P-47D-30,␗\tP-47D-30,␗P-47D-30,␗P-47D-30,␗P-47D-30,␗P-47D-30,␗P-47D-30,␗P-47D-30,P-47D-30,␗P-47D-30,␗\tP-47D-30,☆\tP-47D-30\t“雷\t电”,␗P-47D-30,,
ki_61_1a_otsu_china,␗Ki-61-I otsu,␗Ki-61-I otsu,␗Ki-61-I otsu,␗Ki-61-I otsu,␗Ki-61-I otsu,␗Ki-61-I otsu,␗Ki-61-I otsu,␗ Ki-61-I-ocu Hien,␗Ki-61-I otsu,␗\t三\t式\t战\t一\t型\t乙,␗キ\t61-I 乙,␗Ki-61-I otsu,␗Ki-61-I otsu,␗Ki-61-I otsu,␗Ki-61-I ocu,Ki-61-I을,Ki-61-I otsu,␗Ki-61-I otsu,␗\t三\t式\t戰\t一\t型\t乙,☆\tK-61-Ib,␗Ki-61-I otsu,,
p-51d-20_china,␗P-51D-20,␗P-51D-20,␗P-51D-20,␗P-51D-20,␗P-51D-20,␗P-51D-20,␗P-51D-20,␗ P-51D-20 Mustang,␗P-51D-20,␗\tP-51D-20,␗P-51D-20,␗P-51D-20,␗P-51D-20,␗P-51D-20,␗P-51D-20,␗P-51D-20,P-51D-20,␗P-51D-20,␗\tP-51D-20,☆\tP-51D-20\t“野\t马”,␗P-51D-20,,
p-51k,␗P-51K,␗P-51K,␗P-51K,␗P-51K,␗P-51K,␗P-51K,␗P-51K,␗ P-51K Mustang,␗P-51K,␗\tP-51K,␗P-51K,␗P-51K,␗P-51K,␗P-51K,␗P-51K,␗P-51K,P-51K,␗P-51K,␗\tP-51K,☆\tP-51K\t“野\t马”,␗P-51K,,
la-9_china,␗La-9,␗La-9,␗La-9,␗La-9,␗La-9,␗La-9,␗Ła-9,␗ La-9,␗La-9,␗\t拉\t-9,␗La-9,␗La-9,␗La-9,␗La-9,␗La-9,␗La-9,Ла-9,␗La-9,␗\t拉\t-9,☆\t拉\t-9,␗La-9,,
il-10_1946_china,␗IL-10 (1946),␗IL-10 (1946),␗IL-10 (1946),␗IL-10 (1946),␗IL-10 (1946),␗IL-10 (1946),␗Ił-10 (1946),␗ IL-10 móši 1946,␗IL-10 (1946),␗\t伊\t尔\t-10 1946 型,␗IL-10 (1946),␗IL-10 (1946),␗IL-10 (1946),␗IL-10 (1946),␗Il-10 (1946),␗IL-10 (1946),Іл-10 (1946),␗IL-10 (1946),␗\t伊\t爾\t-10 (1946),☆\t伊\t尔\t-10 1946 型,␗IL-10 (1946),,
f-86f-30_china,␗F-86F-30,␗F-86F-30,␗F-86F-30,␗F-86F-30,␗F-86F-30,␗F-86F-30,␗F-86F-30,␗ F-86F-30 Sabre,␗F-86F-30,␗\tF-86F-30,␗F-86F-30,␗F-86F-30,␗F-86F-30,␗F-86F-30,␗F-86F-30,F-86F-30 세이버,F-86F-30 Sabre,␗F-86F-30,␗\tF-86F-30,☆\tF-86F-30\t“佩\t刀”,␗F-86F-30,,
f-86f-40_china,␗F-86F-40,␗F-86F-40,␗F-86F-40,␗F-86F-40,␗F-86F-40,␗F-86F-40,␗F-86F-40,␗ F-86F-40 Sabre,␗F-86F-40,␗\tF-86F-40,␗F-86F-40,␗F-86F-40,␗F-86F-40,␗F-86F-40,␗F-86F-40,␗F-86F-40,␗F-86F-40,␗F-86F-40,␗\tF-86F-40,☆\tF-86F-40\t“佩\t刀”,␗F-86F-40,,
il_28_china,H-5,H-5,H-5,H-5,H-5,H-5,H-5,H-5,H-5,轰\t-5,H-5,H-5,H-5,H-5,H-5,H-5,Іл-28,H-5,轟\t-5,☆\t伊\t尔\t-28,H-5,,
do_335a_0,Do 335 A-0,Do 335 A-0,Do 335 A-0,Do 335 A-0,Do 335 A-0,Do 335 A-0,Do 335 A-0,Do 335 A-0 Pfeil,Do 335 A-0,Do 335 A-0,Do 335 A-0,Do 335 A-0,Do.335A-0,Do 335 A-0,Do 335 A-0,Do 335 A-0,Do.335A-0,Do 335 A-0,Do 335 A-0,JV 335 A-0,Do 335 A-0,,
do_335a_1,Do 335 A-1,Do 335 A-1,Do 335 A-1,Do 335 A-1,Do 335 A-1,Do 335 A-1,Do 335 A-1,Do 335 A-1 Pfeil,Do 335 A-1,Do 335 A-1,Do 335 A-1,Do 335 A-1,Do.335A-1,Do 335 A-1,Do 335 A-1,Do 335 A-1,Do.335A-1,Do 335 A-1,Do 335 A-1,JV 335 A-1,Do 335 A-1,,
do_335b_2,Do 335 B-2,Do 335 B-2,Do 335 B-2,Do 335 B-2,Do 335 B-2,Do 335 B-2,Do 335 B-2,Do 335 B-2 Pfeil,Do 335 B-2,Do 335 B-2,Do 335 B-2,Do 335 B-2,Do.335B-2,Do 335 B-2,Do 335 B-2,Do 335 B-2,Do.335B-2,Do 335 B-2,Do 335 B-2,JV 335 B-2,Do 335 B-2,,
p-61a_1,P-61A-11,P-61A-11,P-61A-11,P-61A-11,P-61A-11,P-61A-11,P-61A-11,P-61A-11 Black Widow,P-61A-11,P-61A-11,P-61A-11,P-61A-11,P-61A-11,P-61A-11,P-61A-11,P-61A-11,P-61A-11,P-61A-1,P-61A-11,P-61A-1\t“黑\t寡\t妇”,P-61A-11,,
p-61c_1,P-61C-1,P-61C-1,P-61C-1,P-61C-1,P-61C-1,P-61C-1,P-61C-1,P-61C-1 Black Widow,P-61C-1,P-61C-1,P-61C-1,P-61C-1,P-61C-1,P-61C-1,P-61C-1,P-61C-1,P-61C-1,P-61C-1,P-61C-1,P-61C-1\t“黑\t寡\t妇”,P-61C-1,,
ki-83,Ki-83,Ki-83,Ki-83,Ki-83,Ki-83,Ki-83,Ki-83,Ki-83,Ki-83,Ki-83,キ\t83,Ki-83,Ki-83,Ki-83,Ki-83,Ki-83,Ki-83,Ki-83,Ki-83,K-83,Ki-83,,
sea_venom_faw20,Sea Venom FAW 20,Sea Venom FAW.20,Sea Venom FAW 20,Sea Venom FAW 20,Sea Venom FAW 20,Sea Venom FAW 20,Sea Venom FAW 20,Sea Venom FAW Mk.20,Sea Venom FAW 20,海\t毒\t液 FAW.20,シーベノム FAW 20,Sea Venom FAW 20,Sea Venom FAW.20,Sea Venom FAW 20,Sea Venom FAW.20,시 베놈 FAW.20,Sea Venom FAW.20,Sea Venom FAW 20,海\t毒\t液 FAW.20,“海\t毒\t液”\tFAW.20,Sea Venom FAW 20,,
scimitar_f1,Scimitar F Mk.1,Scimitar F Mk.1,Scimitar F Mk.1,Scimitar F Mk.1,Scimitar F Mk. 1,Scimitar F Mk.1,Scimitar F Mk.1,Scimitar F Mk.1,Scimitar F Mk.1,弯\t刀 F Mk.1,シミター F Mk.1,Scimitar F Mk.1,Scimitar F Mk.1,Scimitar F Mk.1,Scimitar F.1,시미터 F Mk.1,Scimitar F Mk.1,Scimitar F Mk.1,彎\t刀 F.1,“弯\t刀” F Mk.1,Scimitar F Mk.1,,
ta-152c,Ta 152 C-3,Ta 152 C-3,Ta.152C-3,Ta 152 C-3,Ta 152 C-3,Ta 152 C-3,Ta 152 C-3,Ta 152 C-3,Ta 152 C-3,Ta 152 C-3,Ta 152 C-3,Ta 152 C-3,Ta.152C-3,Ta 152 C-3,Ta 152 C-3,Ta 152 C-3,Ta.152C-3,Ta 152 C-3,Ta 152 C-3,JV 152 C,Ta 152 C-3,,
fw-189a-1,Fw 189 A-1,Fw 189 A-1,Fw.189A-1,Fw 189 A-1,Fw 189 A-1,Fw 189 A-1,Fw 189 A-1,Fw 189 A-1 Uhu,Fw 189 A-1,Fw 189 A-1,Fw 189 A-1,Fw 189 A-1,Fw.189A-1,Fw 189 A-1,Fw 189 A-1,Fw 189 A-1,Fw.189A-1,Fw 189 A-1,Fw 189 A-1,ZG 189 A-1,Fw 189 A-1,,
ia_58a_pucara,IA.58A Pucara,IA.58A,IA.58A Pucarà,IA.58A Pucará,IA.58A Pucará,IA.58A Pucara,IA.58A Pucara,IA.58A Pucara,IA.58A Pucara,IA-58A 堡\t垒,IA-58A プカラ,IA.58A Pucara,IA.58A Pucara,IA.58A Pucara,IA.58A Pucara,IA.58A 푸카라,IA.58A Pucara,IA.58A Pucara,IA-58A 普\t卡\t拉,▀\tIA-58A\t“普\t卡\t拉”,IA.58A Pucara,,
sunderland_mk3a,Sunderland Mk IIIa,Sunderland Mk IIIa,Sunderland Mk. IIIa,Sunderland Mk IIIa,Sunderland Mk IIIa,Sunderland Mk. IIIa,Sunderland Mk IIIa,Sunderland Mk.IIIA,Sunderland Mk IIIa,桑\t德\t兰 Mk IIIA,サンダーランド Mk IIIa,Sunderland Mk IIIa,Sunderland Mk.IIIa,Sunderland Mk IIIa,Sunderland Mk. IIIA,선덜랜드 IIIa,Sunderland Mk. IIIa,Sunderland Mk IIIa,桑\t德\t蘭 Mk IIIA,“桑\t德\t兰”\tMk IIIA,Sunderland Mk IIIa,,
yak-30d,Yak-30D,Yak-30D,Yak-30,Yak-30D,Yak-30D,Як-30Д,Jak-30D,Jak-30D,Yak-30D,雅\t克\t-30D,Yak-30,Yak-30,Як-30Д,Yak-30D,Yak-30D,Yak-30,Як-30,Yak-30,雅\t克\t-30D,雅\t克\t-30,Yak-30D,,
yak-38,Yak-38,Yak-38,Yak-38,Yak-38,Yak-38,Як-38,Jak-38,Jak-38,Yak-38,雅\t克\t-38,Yak-38,Yak-38,Як-38,Yak-38,Jak-38,Yak-38,Як-38,Yak-38,雅\t克\t-38,雅\t克\t-38,Yak-38,,
yak-38m,Yak-38M,Yak-38M,Yak-38M,Yak-38M,Yak-38M,Як-38М,Jak-38M,Jak-38M,Yak-38M,雅\t克\t-38M,Yak-38M,Yak-38M,Як-38М,Yak-38M,Jak-38M,Yak-38M,Як-38М,Yak-38M,雅\t克\t-38M,雅\t克\t-38M,Yak-38M,,
yak-28b,Yak-28B,Yak-28B,Yak-28B,Yak-28B,Yak-28B,Як-28Б,Jak-28B,Jak-28B,Yak-28B,雅\t克\t-28B,Yak-28B,Yak-28B,Як-28Б,Yak-28B,Jak-28B,Yak-28B,Як-28Б,Yak-28B,雅\t克\t-28B,雅\t克\t-28B,Yak-28B,,
yak_141,Yak-141,Yak-141,Yak-141,Yak-141,Yak-141,Як-141,Jak-141,Jak-141,Yak-141,雅\t克\t-141,Yak-141,Yak-141,Як-141,Yak-141,Yak-141,Yak-141,Як-141,Yak-141,雅\t克\t-141,Yak-141,Yak-141,,
h8k3,H8K3,H8K3,H8K3,H8K3,H8K3,H8K3,H8K3,H8K3,H8K3,二\t式\t飞\t行\t艇\t二\t二\t型,二式大艇二二型,H8K3,H8K3,H8K3,H8K3,H8K3,H8K3,H8K3,二\t式\t大\t艇\t二\t二\t型,HK8-22,H8K3,,
p-38j_marge,Bong's P-38J-15,P-38J-15 de Bong,P-38J-15 di Richard Bong,Richard Bongs P-38J-15,P-38J-15 de Bong,P-38J-15 Бонга,P-38J-15 R. Bonga,P-38J-15 Lightning [Bong],Bong's P-38J-15,P-38J-15 (邦\t格\t座\t机),ボングの\tP-38J-15,P-38J-15 de Bong,P-38J-15 (Річарда Бонга),Bong's P-38J-15,P-38J-15 (Bong),P-38J-15 봉,P-38J-15 Рычарда Бонга,P-38J-15 [Bong],P-38J-15\t（邦\t格\t座\t機）,P-38J-15\t“闪\t电”\t（邦\t格\t座\t机）,Bong's P-38J-15,,
halifax_mk3,Halifax B Mk IIIa,Halifax B.Mk IIIa,Halifax B.Mk.IIIa,Halifax B Mk IIIa,Halifax B Mk IIIa,Halifax B Mk.IIIa,Halifax B Mk IIIa,Halifax Mk.IIIA,Halifax B Mk IIIa,哈\t利\t法\t克\t斯 B Mk IIIA,ハリファックス B Mk IIIa,Halifax B Mk IIIa,Halifax B Mk.IIIa,Halifax B Mk IIIa,Halifax B. Mk. IIIA,핼리팩스 IIIa,Halifax B.Mk.IIIa,Halifax B Mk IIIa,哈\t利\t法\t克\t斯 B Mk IIIA,“哈\t利\t法\t克\t斯” B Mk IIIA,Halifax B Mk IIIa,,
hs-123a-1,Hs 123 A-1,Hs 123 A-1,Hs 123 A-1,Hs 123 A-1,Hs 123 A-1,Hs 123 A-1,Hs 123 A-1,Hs 123 A-1,Hs 123 A-1,Hs 123 A-1,Hs 123 A-1,Hs 123 A-1,Hs.123A-1,Hs 123 A-1,Hs 123 A-1,Hs 123 A-1,Hs.123A-1,Hs 123 A-1,He 123 A-1,SG 123 A-1,Hs 123 A-1,,
hs-123a-1_china,␗Hs 123 A-1,␗Hs 123 A-1,␗Hs 123 A-1,␗Hs 123 A-1,␗Hs 123 A-1,␗Hs 123 A-1,␗Hs 123 A-1,␗ Hs 123 A-1,␗Hs 123 A-1,␗\tHs 123 A-1,␗Hs 123 A-1,␗Hs 123 A-1,␗Hs 123 A-1,␗Hs 123 A-1,␗Hs 123 A-1,␗Hs 123 A-1,␗Hs 123 A-1,␗Hs 123 A-1,␗\tHe 123 A-1,☆\tSG 123 A-1,␗Hs 123 A-1,,
n1k1_ja,N1K1-Ja,N1K1-Ja,N1K1-Ja,N1K1-Ja,N1K1-Ja,N1K1-Ja,N1K1-Ja,N1K1-Ja Šiden,N1K1-Ja,紫\t电\t一\t一\t型\t甲,紫電一一型 甲,N1K1-Ja,N1K1-Ja,N1K1-Ja,N1K1-Ja,N1K1-Ja,N1K1-Ja,N1K1-Ja,紫\t電\t一\t一\t型 甲,JK1-11,N1K1-Ja,,
b_18a,B-18A,B-18A,B-18A,B-18A,B-18A,B-18A,B-18A,B-18A Bolo,B-18A,B-18A,B-18A,B-18A,B-18A,B-18A,B-18A,B-18A,B-18A,B-18A,B-18A,B-18A\t“大\t刀”,B-18A,,
wyvern_s4,Wyvern S4,Wyvern S4,Wyvern S.4,Wyvern S.4,Wyvern S4,Wyvern S.4,Wyvern S4,Wyvern S Mk.4,Wyvern S4,飞\t龙 S.4,ワイバーン S4,Wyvern S4,Wyvern S.4,Wyvern S4,Wyvern S.4,와이번 S4,Wyvern S.4,Wyvern S4,飛\t龍 S4,“飞\t龙”\tS.4,Wyvern S4,,
ki_61_2_early,Ki-61-II Otsu Kai,Ki-61-II kai,Ki-61-II Otsu Kai,Ki-61-II Otsu Kai,Ki-61-II Otsu Kai,Ki-61-II Otsu Kai,Ki-61-II Otsu Kai,Ki-61-II Ocu Kai,Ki-61-II Otsu Kai,三\t式\t战\t二\t型,三式戦二型,Ki-61-II Kai,Ki-61-II otsu kai,Ki-61-II,Ki-61-II Otsu Kai,Ki-61-II,Ki-61-II,Ki-61-II,三\t式\t戰\t二\t型,K-61-II,Ki-61-II Otsu Kai,,
he_219a_7,He 219 A-7,He 219 A-7,He.219 A-7,He 219 A-7,He 219 A-7,He 219 A-7,He 219 A-7,He 219 A-7 Uhu,He 219 A-7,He 219 A-7,He 219 A-7,He 219 A-7,He.219A-7,He 219 A-7,He 219 A-7,He 219 A-7,He.219A-7,He 219 A-7,He 219 A-7,ZG 219 A-7,He 219 A-7,,
tu_4,Tu-4,Tu-4,Tu-4,Tu-4,Tu-4,Ту-4,Тu-4,Tu-4,Tu-4,图\t-4,Tu-4,Tu-4,Ту-4,Tu-4,Tu-4,Tu-4,Ту-4,Tu-4,圖\t-4,图\t-4,Tu-4,,
tu_4_killstreak,☢Tu-4,☢Tu-4,☢Tu-4,☢Tu-4,☢Tu-4,☢Ту-4,☢Tu-4,☢Tu-4,☢Tu-4,☢\t图\t-4,☢Tu-4,☢Tu-4,☢Ту-4,☢Tu-4,☢Tu-4,☢Tu-4,☢Ту-4,☢Tu-4,☢\t圖\t-4,☢\t图\t-4,☢Tu-4,,
tu_4_china_killstreak,☢Tu-4,☢Tu-4,☢Tu-4,☢Tu-4,☢Tu-4,☢Tu-4,☢Tu-4,☢Tu-4,☢Tu-4,☢\t图\t-4,☢Tu-4,☢Tu-4,☢Tu-4,☢Tu-4,☢Tu-4,☢Tu-4,☢Tu-4,☢Tu-4,☢\t圖\t-4,☢\t图\t-4,☢Tu-4,,
tu_4_china,␗Tu-4,␗Tu-4,␗Tu-4,␗Tu-4,␗Tu-4,␗Tu-4,␗Tu-4,␗ Tu-4,␗Tu-4,␗\t图\t-4,␗Tu-4,␗Tu-4,␗Tu-4,␗Tu-4,␗Tu-4,␗Tu-4,␗Tu-4,␗Tu-4,␗\t圖\t-4,☆\t图\t-4,␗Tu-4,,
he-162a-1,He 162 A-1,He 162 A-1,He.162 A-1,He 162 A-1,He 162 A-1,He 162 A-1,He 162 A-1,He 162 A-1 Spatz,He 162 A-1,He 162 A-1,He 162 A-1,He 162 A-1,He.162A-1,He 162 A-1,He 162 A-1,He 162 A-1,He.162A-1,He 162 A-1,He 162 A-1,JG 162 A-1,He 162 A-1,,
spitfire_mk9b,Spitfire Mk IXb,Spitfire Mk IXb,Spitfire Mk.IXb,Spitfire Mk IXb,Spitfire Mk IXb,Spitfire Mk.IXb,Spitfire Mk IXb,Spitfire Mk.IXB,Spitfire Mk IXb,喷\t火 Mk IXB,スピットファイア Mk IXb,Spitfire Mk IXb,Spitfire Mk.IXb,Spitfire Mk IXb,Spitfire Mk. IXB,스핏파이어 Mk IXb,Spitfire Mk.IXb,Spitfire Mk IXb,噴\t火 Mk IXB,“喷\t火”\tMk IXB,Spitfire Mk IXb,,
ki_100_early,Ki-100,Ki-100,Ki-100,Ki-100,Ki-100,Ki-100,Ki-100,Ki-100,Ki-100,五\t式\t战\t一\t型,五式戦一型,Ki-100,Ki-100,Ki-100,Ki-100,Ki-100,Ki-100,Ki-100,五\t式\t戰\t一\t型,K-100,Ki-100,,
p-47n-15,P-47N-15,P-47N-15,P-47N-15,P-47N-15,P-47N-15,P-47N-15,P-47N-15,P-47N-15 Thunderbolt,P-47N-15,P-47N-15,P-47N-15,P-47N-15,P-47N-15,P-47N-15,P-47N-15,P-47N-15,P-47N-15,P-47N-15,P-47N-15,P-47N-15\t“雷\t电”,P-47N-15,,
f_47n_25_re_china,␗F-47N-25-RE,␗F-47N-25-RE,␗F-47N-25-RE,␗F-47N-25-RE,␗F-47N-25-RE,␗F-47N-25-RE,␗F-47N-25-RE,␗F-47N-25-RE,␗F-47N-25-RE,␗\tF-47N-25-RE,␗F-47N-25-RE,␗F-47N-25-RE,␗F-47N-25-RE,␗F-47N-25-RE,␗F-47N-25-RE,␗F-47N-25-RE,␗F-47N-25-RE,␗F-47N-25-RE,␗\tF-47N-25-RE,␗F-47N-25-RE,␗F-47N-25-RE,,
f7f3,F7F-3,F7F-3,F7F-3,F7F-3,F7F-3,F7F-3,F7F-3,F7F-3 Tigercat,F7F-3,F7F-3,F7F-3,F7F-3,F7F-3,F7F-3,F7F-3,F7F-3,F7F-3,F7F-3,F7F-3,F7F-3\t“虎\t猫”,F7F-3,,
hudson_mk_v,▄Hudson Mk V,▄Hudson Mk V,▄Hudson Mk.V,▄Hudson Mk V,▄Hudson Mk V,▄Hudson Mk.V,▄Hudson Mk V,▄ Hudson Mk.V,▄Hudson Mk V,▄\t赫\t德\t森 Mk V,▄ハドソン Mk V,▄Hudson Mk V,▄Hudson Mk V,▄Hudson Mk V,▄Hudson Mk. V,▄허드슨 Mk V,▄Hudson Mk.V,▄Hudson Mk V,▄\t哈\t德\t遜 Mk V,▄\t“哈\t德\t逊”\tMk V,▄Hudson Mk V,,
su-6_m71,Su-6 (M-71F),Su-6 (M-71F),Su-6 (M-71F),Su-6 (M-71F),Su-6 (M-71F),Су-6 (М-71Ф),Su-6 (M-71F),Su-6 M-71F,Su-6 (M-71F),苏\t-6 (M-71F),Su-6 (M-71F),Su-6 (M-71F),Су-6 (М-71Ф),Su-6 (M-71F),Su-6 (M-71F),Su-6 (M-71F),Су-6 (М-71Ф),Su-6 (M-71F),蘇\t-6 (M-71F),苏\t-6/M-71,Su-6 (M-71F),,
p1y1_mod11,P1Y1 mod. 11,P1Y1 mod. 11,P1Y1 mod. 11,P1Y1 mod. 11,P1Y1 mod. 11,P1Y1 mod. 11,P1Y1 mod. 11,P1Y1 model 11 Ginga,P1Y1 mod. 11,银\t河\t一\t一\t型,銀河一一型,P1Y1 mod. 11,P1Y1 Mod. 11,P1Y1 mod. 11,P1Y1 modell 11,P1Y1 11형,P1Y1 mod. 11,P1Y1 mod. 11,銀\t河\t一\t一\t型,PY1-11,P1Y1 mod. 11,,
p1y1_mod11_china,␗P1Y1 mod. 11,␗P1Y1 mod. 11,␗P1Y1 mod. 11,␗P1Y1 mod. 11,␗P1Y1 mod. 11,␗P1Y1 mod. 11,␗P1Y1 mod. 11,␗ P1Y1 model 11 Ginga,␗P1Y1 mod. 11,␗\t银\t河\t一\t一\t型,␗P1Y1 11型,␗P1Y1 mod. 11,␗P1Y1 Mod. 11,␗P1Y1 mod. 11,␗P1Y1 modell 11,␗P1Y1 11형,␗P1Y1 mod. 11,␗P1Y1 mod. 11,␗\t銀\t河\t一\t一\t型,☆\tP1Y1 mod. 11,␗P1Y1 mod. 11,,
f9f-8,F9F-8,F9F-8,F9F-8,F9F-8,F9F-8,F9F-8,F9F-8,F9F-8 Cougar,F9F-8,F9F-8,F9F-8,F9F-8,F9F-8,F9F-8,F9F-8,F9F-8,F9F-8,F9F-8,F9F-8,F9F-8\t“美\t洲\t狮”,F9F-8,,
ki_87,Ki-87,Ki-87,Ki-87,Ki-87,Ki-87,Ki-87,Ki-87,Ki-87,Ki-87,Ki-87,キ\t87,Ki-87,Ki-87,Ki-87,Ki-87,Ki-87,Ki-87,Ki-87,Ki-87,K-87,Ki-87,,
ki_94_2,Ki-94-II,Ki-94-II,Ki-94-II,Ki-94-II,Ki-94-II,Ki-94-II,Ki-94-II,Ki-94-II,Ki-94-II,Ki-94 II (试\t制),キ\t94-II,Ki-94-II,Ki-94 II,Ki-94-II,Ki-94-II,Ki-94-II,Ki-94-II,Ki-94-II,Ki-94 II,K-94 II\t（试\t制）,Ki-94-II,,
